yyyymm,12M_forward,12M_Mom,9M_Mom,%_ch_D/P,5Y_val,,,,,,,,,,,,,,,,,
195409,0.301284588,0.38372591,0.302297461,-0.072529174,1.07381258,,,,,,,,,,,,,,,,,
195410,0.290046699,0.290953545,0.214723926,0.036051909,0.975062344,,,,,,,,,,,,,,,,,
195411,0.284537531,0.382875606,0.309369025,-0.060267951,1.132004981,,,,,,,,,,,,,,,,,
195412,0.23430944,0.450221685,0.335560505,-0.033740824,1.146778043,,,,,,,,,,,,,,,,,
195501,0.179222757,0.40452454,0.296178344,-0.013471571,1.148387097,,,,,,,,,,,,,,,,,
195502,0.209779348,0.405736138,0.259335389,0.000715606,1.134727062,,,,,,,,,,,,,,,,,
195503,0.281649699,0.35783222,0.252310852,0.009255344,1.1156738,,,,,,,,,,,,,,,,,
195504,0.242553531,0.343241331,0.229274611,-0.034315575,1.100719424,,,,,,,,,,,,,,,,,
195505,0.175882157,0.298732443,0.270868253,0.003496668,1.018636848,,,,,,,,,,,,,,,,,
195506,0.135205594,0.40465594,0.269885484,-0.074095752,1.319389486,,,,,,,,,,,,,,,,,
195507,0.126527372,0.409326425,0.373737374,-0.047186724,1.439461883,,,,,,,,,,,,,,,,,
195508,0.09556279,0.447536038,0.261098131,0.018418359,1.344191097,,,,,,,,,,,,,,,,,
195509,0.037748809,0.351593934,0.21372985,-0.000921374,1.245244216,,,,,,,,,,,,,,,,,
195510,0.073736758,0.336489899,0.155883156,0.035678094,1.167946749,,,,,,,,,,,,,,,,,
195511,-0.009493393,0.329147196,0.238030468,-0.065880338,1.332649923,,,,,,,,,,,,,,,,,
195512,0.025828891,0.264035575,0.243302351,0.004764461,1.228319451,,,,,,,,,,,,,,,,,
195601,0.020330495,0.196287196,0.154373024,0.056867896,1.023084026,,,,,,,,,,,,,,,,,
195602,-0.046961225,0.233405876,0.195990504,-0.016162646,1.079816514,,,,,,,,,,,,,,,,,
195603,-0.094464828,0.325314379,0.181574458,-0.0482649,1.265420561,,,,,,,,,,,,,,,,,
195604,-0.056113317,0.274499473,0.111672794,0.015563016,1.156932679,,,,,,,,,,,,,,,,,
195605,0.048157853,0.192297547,0.046780917,0.084639206,1.100371747,,,,,,,,,,,,,,,,,
195606,0.008480017,0.144772118,0.075566751,-0.025063618,1.240935115,,,,,,,,,,,,,,,,,
195607,-0.030423724,0.134880515,0.166509211,-0.041970923,1.204910714,,,,,,,,,,,,,,,,,
195608,-0.049400748,0.100277906,0.043946385,0.047252879,1.04080756,,,,,,,,,,,,,,,,,
195609,-0.066790227,0.038470346,-0.002858399,0.055257222,0.949699054,,,,,,,,,,,,,,,,,
195610,-0.104434612,0.076523382,0.040164309,-0.023052576,0.986922406,,,,,,,,,,,,,,,,,
195611,-0.077458059,-0.009448473,-0.005734451,-0.007600394,0.97027972,,,,,,,,,,,,,,,,,
